Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Mercedes-Benz,G 63 AMG,Germany,2024,30,577,Automatic,Petrol,4x4,14.7,336,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,287899
Volkswagen,Taigo,Germany,2023,12038,94,Manual,Petrol,4x2,4.7,108,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,21949
Audi,Q2,Germany,2019,53090,188,Automatic,Petrol,4x4,7.2,147,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,30999
Opel,Corsa,Germany,2013,173000,68,Manual,Petrol,4x2,5.5,129,Red,Black interior,Cloth interior,Hatchback,2/3 doors,5,4399
Audi,Q3,Germany,2022,20270,148,Automatic,Petrol,4x2,6.5,135,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,36299
BMW,218 Gran Coupé,Spain,2023,16515,148,Automatic,Diesel,4x2,4.2,111,Grey,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,32599
Ford,Ranger,Italy,2021,55805,209,Automatic,Diesel,4x2,8.8,197,Black,Other interior color,Cloth interior,Pick-up,4/5 doors,5,33499
Seat,Leon,Germany,2024,10,114,Manual,Petrol,4x2,5.4,123,Blue,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,33749
BMW,X1,Germany,2024,100,134,Automatic,Petrol,4x2,8.0,195,Green,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,61599
Audi,A6,Germany,2018,80000,228,Automatic,Diesel,4x4,5.8,151,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,31049
Volkswagen,Golf,Germany,2024,9870,114,Manual,Petrol,4x2,5.3,120,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,28799
Audi,Q7,Germany,2016,133700,215,Automatic,Diesel,4x4,5.5,144,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,32549
Škoda,Scala,Poland,2020,26477,114,Manual,Petrol,4x2,5.0,113,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,16349
